Worker_refined,repo_refined,Coding Effort,"Month, Day, Year of Date"
tqu,DKD,5,8/28/2015
yns,XEI,0,8/28/2015
fsl,EZU,5,8/28/2015
yem,LOC,0,8/28/2015
qub,KGD,1.17,8/28/2015
qub,UVK,2.33,8/28/2015
rji,GKD,0,8/28/2015
qyu,LJR,0,8/28/2015
dmn,FST,0,8/28/2015
dmn,QMH,0.33,8/28/2015
dmn,GPW,4.66,8/28/2015
dmn,KXK,0,8/28/2015
wpz,RKY,3.79,8/28/2015
wzl,DGV,0,8/28/2015
ecq,FYL,0.24,8/28/2015
ecq,PHM,4.75,8/28/2015
foz,LHC,2.51,8/28/2015
foz,HMN,0.34,8/28/2015
foz,VXF,2.14,8/28/2015
fsb,KGD,0,8/28/2015
tai,DCM,0,8/28/2015
nps,XMW,4.65,8/28/2015
nps,VSL,0.34,8/28/2015
mfx,XMW,5,8/28/2015
dzl,CNJ,5,8/28/2015
ueg,VSL,5,8/28/2015
auw,CNJ,4.99,8/28/2015
auw,HJO,0,8/28/2015
kmb,DCM,5,8/28/2015
vtw,IPO,0,8/28/2015
rbm,LJR,0,8/28/2015
eco,FCJ,0,8/28/2015
eky,PLS,4.04,8/28/2015
xid,JIV,0,8/28/2015
mrv,WGV,0,8/28/2015
mff,HFQ,0,8/28/2015
fcq,UON,0,8/28/2015
jps,KGD,0,8/28/2015
pti,SPG,5,8/28/2015
mgz,XWQ,5,8/28/2015
ykm,RKY,0,8/28/2015
xao,CRD,0,8/28/2015
xao,FBH,0,8/28/2015
fhj,EEX,0,8/28/2015
fhj,OBZ,4.99,8/28/2015
iqr,WQD,5,8/28/2015
rqy,MQB,5,8/28/2015
stw,MQB,0,8/28/2015
myo,IHG,0,8/28/2015
ymp,DZF,5,8/28/2015
moe,XWQ,0,8/28/2015
ong,NRM,0,8/28/2015
vbf,JID,5,8/28/2015
tiu,HEL,0,8/28/2015
arg,OQJ,0,8/28/2015
agp,KGD,4.31,8/28/2015
agp,FKJ,0.68,8/28/2015
aig,OCG,5,8/28/2015
mus,GIZ,0,8/28/2015
lwv,YCE,5,8/28/2015
adi,LZH,0,8/28/2015
sli,HEL,5.29,8/28/2015
lna,GLE,5,8/28/2015
rpe,FAB,0,8/28/2015
crj,KAM,0,8/28/2015
dey,RRJ,5,8/28/2015
aob,GRN,0,8/28/2015
kwb,PPY,0,8/28/2015
gez,KGD,1.38,8/28/2015
gez,YBA,3.61,8/28/2015
opt,GIG,5,8/28/2015
bjp,KGD,0,8/28/2015
gek,TZA,0,8/28/2015
lhe,WKP,5,8/28/2015
tbr,FYL,5,8/28/2015
dbs,BTX,0,8/28/2015
bjx,NKC,0,8/28/2015
tuf,JYL,0,8/28/2015
lws,IBW,0,8/28/2015
qjv,DTE,0,8/28/2015
hgv,OOT,0,8/28/2015
xzb,PTK,0,8/28/2015
xzb,JZC,5,8/28/2015
jkg,GRN,4.02,8/28/2015
ler,FAB,0,8/28/2015
fhl,GXP,5,8/28/2015
nkl,KGD,0.83,8/28/2015
nkl,YBF,1.71,8/28/2015
nkl,PLT,2.44,8/28/2015
amp,SKK,0,8/28/2015
amp,QLR,0,8/28/2015
jio,VPP,5,8/28/2015
alq,UKF,0,8/28/2015
dth,CUI,0,8/28/2015
dth,LWW,0,8/28/2015
hxd,UKA,0,8/28/2015
vxn,XNU,0,8/28/2015
uwk,UZB,0,8/28/2015
hlm,FST,5,8/28/2015
phw,HWK,0,8/28/2015
ilq,FJV,0,8/28/2015
okn,QQS,0,8/28/2015
dsd,UAO,0,8/28/2015
dsd,WBE,0,8/28/2015
zde,HFQ,0,8/28/2015
jzz,MOB,0,8/28/2015
aax,FTK,5,8/28/2015
inu,KGD,5,8/28/2015
exf,CRD,5,8/28/2015
zhb,CUI,0,8/28/2015
nhy,GFY,0,8/28/2015
cnu,HFQ,0,8/28/2015
dsj,DCM,2.24,8/28/2015
dsj,FAB,2.75,8/28/2015
mcd,PTK,0,8/28/2015
jtb,BEK,0,8/28/2015
clj,LZH,0.6,8/28/2015
clj,MBV,4.39,8/28/2015
ujg,QLY,4.85,8/28/2015
ujg,RVW,0.14,8/28/2015
msg,IRT,0,8/28/2015
muy,MWP,0,8/28/2015
qcy,TEK,5,8/28/2015
ktg,KGD,5,8/28/2015
dup,GZJ,0,8/28/2015
pck,KGD,0,8/28/2015
pck,IWN,5,8/28/2015
ioc,LZH,5,8/28/2015
nwd,UZB,5,8/28/2015
pnr,YZE,0,8/28/2015
gqe,TGC,5,8/28/2015
god,YEV,0,8/28/2015
dgq,YEV,0,8/28/2015
ogc,ZDL,5,8/28/2015
jjv,YEV,5,8/28/2015
gsx,GVQ,5,8/28/2015
tln,FYL,5,8/28/2015
qol,AXX,0,8/28/2015
qol,XSF,0,8/28/2015
iid,DRF,5,8/28/2015
xtb,MZA,5,8/28/2015
qud,UAO,4.84,8/28/2015
uwz,EVY,0,8/28/2015
kce,HFQ,0,8/28/2015
nbq,XBV,5,8/28/2015
eyj,DQY,0,8/28/2015
kqv,CUI,0,8/28/2015
tfr,LZH,5,8/28/2015
nbi,JID,5,8/28/2015
shg,HEL,5,8/28/2015
qgo,IPL,4.12,8/28/2015
znn,POX,0,8/28/2015
xsi,KGD,1.87,8/28/2015
xsi,FKJ,3.12,8/28/2015
ycs,YDX,0,8/28/2015
cuy,JXW,4.87,8/28/2015
cuy,SVV,0.12,8/28/2015
anj,SPG,0,8/28/2015
lxn,JIV,0,8/28/2015
yly,MBV,0,8/28/2015
nmx,FTK,5,8/28/2015
edo,PNJ,0,8/28/2015
hju,RKW,1.36,8/28/2015
csg,LZH,2.24,8/28/2015
qjx,GSE,5,8/28/2015
hdg,AOZ,0,8/28/2015
eav,KFR,5,8/28/2015
edc,TEK,0,8/28/2015
tng,BKC,0,8/28/2015
kfs,FHJ,0,8/28/2015
rap,KGD,0,8/28/2015
zvc,VKK,0,8/28/2015
okm,HFQ,0,8/28/2015
ksh,XHS,0,8/28/2015
zzr,CUI,1.16,8/28/2015
zzr,LWW,3.83,8/28/2015
tda,UPT,0.02,8/28/2015
tda,KVM,4.97,8/28/2015
ird,TKR,5,8/28/2015
cwe,KGD,0,8/28/2015
hvb,TQG,5,8/28/2015
dfb,KGD,0,8/28/2015
dfb,ZOD,5,8/28/2015
yxb,PNJ,0,8/28/2015
qbw,PPY,0,8/28/2015
doq,RXS,5,8/28/2015
oux,JHS,5,8/28/2015
auc,NWN,5,8/28/2015
vrl,SUE,5,8/28/2015
wsa,COH,3.32,8/28/2015
zqe,VWZ,0,8/28/2015
rve,JXW,5,8/28/2015
snc,KGD,0,8/28/2015
snc,QLX,0,8/28/2015
kiw,XBV,0,8/28/2015
coj,GNX,5,8/28/2015
coj,IAN,0,8/28/2015
cge,DLG,0,8/28/2015
hjk,RLJ,4.08,8/28/2015
bht,MYL,0,8/28/2015
vbv,BEK,5,8/28/2015
ejr,DZF,2.11,8/28/2015
xdr,CUI,1.64,8/28/2015
gqw,UAO,0,8/28/2015
nac,AOZ,0,8/28/2015
pcl,ETU,0,8/28/2015
vil,XWQ,5,8/28/2015
ypy,YEV,5,8/28/2015
lgl,XAI,5,8/28/2015
tge,XBV,5,8/28/2015
kzs,KAM,4.08,8/28/2015
kzs,JYX,0.91,8/28/2015
kzs,ECK,0,8/28/2015
vaz,DJQ,5,8/28/2015
jsy,SFS,0,8/28/2015
ckz,KGD,0.04,8/28/2015
ckz,VKA,4.53,8/28/2015
ckz,PKU,0.42,8/28/2015
ddm,JIV,0,8/28/2015
sko,GSE,5,8/28/2015
nvf,YEV,5,8/28/2015
xiq,FVQ,0,8/28/2015
djg,TJB,5,8/28/2015
pgy,MRX,0,8/28/2015
fgi,WEH,0,8/28/2015
vie,FRR,0,8/28/2015
mwu,UKF,5,8/28/2015
cxi,LZH,5,8/28/2015
wae,OOT,0,8/28/2015
ppd,GOP,5,8/28/2015
oit,YEV,0,8/28/2015
cxy,KDJ,5,8/28/2015
dve,KHL,5,8/28/2015
ukv,CUI,0,8/28/2015
owg,BEL,0,8/28/2015
cuq,QQX,0,8/28/2015
jmh,DQZ,5,8/28/2015
tvm,BEL,5,8/28/2015
yow,FMI,0,8/28/2015
oix,PWO,5,8/28/2015
qvc,HFQ,1.46,8/28/2015
min,COH,5,8/28/2015
iwn,DKD,5,8/28/2015
czt,ZSI,0,8/28/2015
jcm,LZH,0,8/28/2015
pnx,RSI,5,8/28/2015
vpq,RLM,0,8/28/2015
clm,JXW,0.26,8/28/2015
clm,VMI,4.73,8/28/2015
tel,HFQ,5,8/28/2015
vwl,CUI,5,8/28/2015
xev,JXW,0.42,8/28/2015
xev,THG,4.57,8/28/2015
xev,HMF,0,8/28/2015
uda,DKD,5,8/28/2015
lyn,VNV,0,8/28/2015
arl,YMJ,0,8/28/2015
njq,AQE,5,8/28/2015
jci,AKZ,5,8/28/2015
uam,KHL,0,8/28/2015
enq,UZB,5,8/28/2015
iuv,BSU,1.61,8/28/2015
iuv,XAA,1.61,8/28/2015
rva,LJR,0,8/28/2015
erj,HFQ,0,8/28/2015
wwe,HJD,0,8/28/2015
iwo,FST,0,8/28/2015
hrg,KGD,5,8/28/2015
zcf,UAO,5,8/28/2015
rlj,ZZK,0,8/28/2015
ywo,ZZO,0,8/28/2015
plp,GYL,0,8/28/2015
jpg,PTK,2.26,8/28/2015
jpg,TTM,2.73,8/28/2015
fpq,TGC,4.07,8/28/2015
gqd,RKW,0,8/28/2015
ucv,HSS,0,8/28/2015
wfg,UKA,5,8/28/2015
lnl,UKA,0,8/28/2015
jxo,UKF,5,8/28/2015
ojq,QMH,0,8/28/2015
bwv,REA,0.4,8/28/2015
bwv,RXS,4.59,8/28/2015
gcs,CCR,0,8/28/2015
gcs,EGD,4.99,8/28/2015
oyf,APK,1.85,8/28/2015
oyf,NKC,3.14,8/28/2015
fjw,HEL,0,8/28/2015
zlg,CUI,5,8/28/2015
bxd,YGF,0,8/28/2015
mdu,VNH,5,8/28/2015
cyc,OOT,0,8/28/2015
ehe,FPE,0,8/28/2015
mal,TGC,5,8/28/2015
fsc,COH,0,8/28/2015
bch,YHM,0,8/28/2015
hsh,HJR,0,8/28/2015
mou,HFQ,5,8/28/2015
jex,KUF,5,8/28/2015
nyz,UTL,0,8/28/2015
stt,XBV,0,8/28/2015
eix,FPM,5,8/28/2015
xnf,LZH,0,8/28/2015
thd,LZH,0,8/28/2015
zjj,DKD,3.18,8/28/2015
kyi,DQZ,0,8/28/2015
atq,HFQ,5,8/28/2015
kpt,JYX,5,8/28/2015
nfd,ZVN,5,8/28/2015
spl,HFQ,0,8/28/2015
qbo,NMU,2.49,8/28/2015
azj,ZVN,0,8/28/2015
jla,JHS,5,8/28/2015
tud,HFQ,0,8/28/2015
nja,ZZP,0,8/28/2015
cem,OOT,5,8/28/2015
cfd,FYL,5,8/28/2015
hnm,HEL,0,8/28/2015
xnq,MCW,5,8/28/2015
vab,LJG,0,8/28/2015
qja,KGD,0,8/28/2015
qrw,OOT,0,8/28/2015
qwa,LHC,0,8/28/2015
qwa,HMN,0,8/28/2015
qwa,BZZ,0,8/28/2015
ycf,DKD,0,8/28/2015
qjm,EGO,0,8/28/2015
jtu,LZH,5,8/28/2015
cdv,CLC,2.78,8/28/2015
ydd,HJR,0.56,8/28/2015
fxm,OOT,0,8/28/2015
hrq,PYN,3.02,8/28/2015
hrq,EGL,1.97,8/28/2015
qfq,XJW,5,8/28/2015
qev,KGD,1.34,8/28/2015
qev,FKJ,3.65,8/28/2015
mjk,DCM,5,8/28/2015
gav,GMW,5,8/28/2015
gtb,WPN,5,8/28/2015
gfb,XAS,0,8/28/2015
hxh,DCN,0,8/28/2015
qkb,EGL,0,8/28/2015
cnh,YEV,0,8/28/2015
cnh,GRV,0,8/28/2015
cxv,LHX,5,8/28/2015
cxv,DCN,0,8/28/2015
euu,PYN,0,8/28/2015
vpt,TSE,0,8/28/2015
pmn,HFQ,0,8/28/2015
vlp,OOT,5.08,8/28/2015
lgb,XIZ,0,8/28/2015
cor,IKT,0,8/28/2015
oca,AOZ,0,8/28/2015
vcm,SNL,0,8/28/2015
khu,VOF,0,8/28/2015
wbx,FRR,5,8/28/2015
xxm,IPL,0,8/28/2015
uwe,JYX,0,8/28/2015
bqr,GYL,0,8/28/2015
bxu,FYL,0,8/28/2015
bmp,VPP,5,8/28/2015
unx,HEL,0,8/28/2015
sjg,CUI,0,8/28/2015
iep,CRD,5,8/28/2015
ani,VRS,3.24,8/28/2015
awk,NKC,5,8/28/2015
ynq,YEV,5,8/28/2015
fsa,XBV,5,8/28/2015
vep,XBV,5,8/28/2015
wef,FYL,4.96,8/28/2015
coi,LHC,5,8/28/2015
msn,TEK,0,8/28/2015
wxq,FRR,5,8/28/2015
ntg,JID,5,8/28/2015
cul,YEV,5,8/28/2015
bkh,FBM,0,8/28/2015
bkh,HVO,0,8/28/2015
bkh,DZF,0,8/28/2015
ocd,AOZ,0,8/28/2015
dds,BKU,5,8/28/2015
rks,MNT,0,8/28/2015
eek,TWW,0.17,8/28/2015
eek,VZI,4.82,8/28/2015
qxh,FRR,0,8/28/2015
aaz,KGD,0,8/28/2015
flf,NOJ,5,8/28/2015
gkj,JGG,0,8/28/2015
xle,DKD,0,8/28/2015
znx,OWW,0,8/28/2015
wch,KEN,0.23,8/28/2015
dke,HWK,0,8/28/2015
jbo,CQO,0,8/28/2015
jbo,AES,0,8/28/2015
jqt,OCR,0,8/28/2015
cnd,GPW,5,8/28/2015
oij,KGD,5,8/28/2015
qbt,GIG,5,8/28/2015
mpl,HFQ,0,8/28/2015
qdt,JIV,5,8/28/2015
vbe,ZTD,5,8/28/2015
jsj,BEK,5,8/28/2015
xyu,XBV,0,8/28/2015
pec,SBM,5,8/28/2015
hzx,NBJ,5,8/28/2015
kbc,XHS,0,8/28/2015
kbc,XWQ,5,8/28/2015
bvk,AOZ,0,8/28/2015
eev,HBU,0,8/28/2015
axr,GSE,0,8/28/2015
amf,LZH,0.99,8/28/2015
amf,QXO,1.01,8/28/2015
sly,FOO,0,8/28/2015
eun,YZT,0.71,8/28/2015
nen,EZU,0,8/28/2015
aah,KNU,0,8/28/2015
gfl,CQO,0,8/28/2015
jxq,XNP,0,8/28/2015
hcs,XBV,5,8/28/2015
pqg,YPU,0,8/28/2015
oxv,YEV,5,8/28/2015
xza,SFS,0,8/28/2015
weq,LJR,5,8/28/2015
rzz,MNL,0,8/28/2015
xso,HFQ,5,8/28/2015
hmj,RRC,3.07,8/28/2015
cck,JIV,0,8/28/2015
mvb,GPW,0,8/28/2015
qzg,OOT,0,8/28/2015
win,ATC,0,8/28/2015
ial,COH,5,8/28/2015
zrq,EGL,0,8/28/2015
sjo,XBV,5,8/28/2015
aqh,XBV,5,8/28/2015
vlz,HFQ,0,8/28/2015
ywd,FPM,1.96,8/28/2015
ywd,ZKD,3.03,8/28/2015
pze,HFQ,5,8/28/2015
dqw,NBX,0,8/28/2015
bhc,HSS,0,8/28/2015
iyb,DRF,0,8/28/2015
nbm,MQB,0,8/28/2015
xks,NWN,5,8/28/2015
iwq,FPM,0,8/28/2015
rdu,ZTD,0,8/28/2015
cfb,XWQ,2.04,8/28/2015
bsj,JXW,0.65,8/28/2015
bsj,HJR,1.16,8/28/2015
ico,WEH,0,8/28/2015
jux,PLS,0,8/28/2015
var,XHS,0,8/28/2015
zjk,GKD,0,8/28/2015
rqt,KGD,2.58,8/28/2015
cpf,TEK,0,8/28/2015
fpj,HEL,0,8/28/2015
voq,HEL,0,8/28/2015
lre,DSZ,0,8/28/2015
ohl,NXZ,2.43,8/28/2015
ohl,JDP,2.56,8/28/2015
xzn,QNY,5,8/28/2015
cvg,SHR,5,8/28/2015
kgt,HAT,0,8/28/2015
zzc,FHJ,5,8/28/2015
ndo,XWQ,0,8/28/2015
ffk,OJG,5,8/28/2015
hgu,FKJ,5,8/28/2015
ing,OQJ,2.5,8/28/2015
fhf,XBV,5,8/28/2015
pdf,VUM,0,8/28/2015
fcs,FJV,0,8/28/2015
smj,SHR,0,8/28/2015
fif,HWK,0,8/28/2015
uen,XWQ,5,8/28/2015
wgk,GYI,0,8/28/2015
wgk,WTN,0,8/28/2015
aem,COH,0,8/28/2015
nrc,PAW,0,8/28/2015
bnq,KHL,0,8/28/2015
bsk,JID,0,8/28/2015
zrb,LJR,5,8/28/2015
amd,TEK,0,8/28/2015
iru,JIV,0,8/28/2015
bdn,MRX,0,8/28/2015
nel,SBM,0,8/28/2015
uzx,ZZO,5,8/28/2015
yyk,HMS,5,8/28/2015
ybl,DQZ,0,8/28/2015
dld,SHR,0,8/28/2015
wjj,KFR,5,8/28/2015
syg,IWN,0,8/28/2015
pyd,TEK,0.93,8/28/2015
rov,YST,0,8/28/2015
hor,BEK,0,8/28/2015
dpy,HFQ,0,8/28/2015
zva,XWQ,0,8/28/2015
fwo,DKD,5,8/28/2015
ovd,TCX,5,8/28/2015
ydl,SMD,0,8/28/2015
hft,YEV,5,8/28/2015
zhw,OOT,0,8/28/2015
lsk,DDY,5,8/28/2015
unv,JHS,0,8/28/2015
kjj,UKA,0,8/28/2015
hkd,KGD,0,8/28/2015
tmn,CRG,0,8/28/2015
ruc,JXW,5,8/28/2015
tnb,EUQ,0,8/28/2015
ilb,LZH,0,8/28/2015
kcc,EUQ,0,8/28/2015
fdc,XWQ,5,8/28/2015
lua,EEE,0,8/28/2015
qrx,HAE,4.77,8/28/2015
rtm,QZO,0,8/28/2015
tcb,GXP,5,8/28/2015
xqj,GFY,4.99,8/28/2015
xqj,NFF,0,8/28/2015
xuc,GHF,5,8/28/2015
rzo,HFQ,0,8/28/2015
way,PXD,0,8/28/2015
tvt,WPN,0,8/28/2015
yrl,REA,5,8/28/2015
wtu,KFR,2.59,8/28/2015
wtu,DRO,2.4,8/28/2015
gpi,RLM,5,8/28/2015
fpx,OOT,0,8/28/2015
tuy,KHL,0,8/28/2015
jfg,XKI,0,8/28/2015
swe,XWQ,5,8/28/2015
pma,FCO,0,8/28/2015
bxo,HFQ,1.49,8/28/2015
nom,EUQ,0,8/28/2015
mko,XWQ,0,8/28/2015
tvb,AOZ,0,8/28/2015
ues,GRV,0,8/28/2015
iaa,AQV,5,8/28/2015
tqw,YEV,0,8/28/2015
ulw,KGD,5,8/28/2015
jbw,FYL,5,8/28/2015
kpi,SIB,0,8/28/2015
prl,QCN,0,8/28/2015
avf,XQB,5,8/28/2015
urp,QQS,5,8/28/2015
upa,HWK,0,8/28/2015
cgb,HJD,0,8/28/2015
kqg,XWQ,5,8/28/2015
hzy,SFS,1.41,8/28/2015
tdr,YPU,5,8/28/2015
btr,BSO,5,8/28/2015
nir,XQB,2.96,8/28/2015
nir,BFF,2.03,8/28/2015
kbi,ZBT,0,8/28/2015
rxt,QEL,0,8/28/2015
eap,DCM,0,8/28/2015
hej,DCM,5,8/28/2015
fui,OOL,0,8/28/2015
khw,BZY,2.5,8/28/2015
khw,GUG,2.49,8/28/2015
lkm,LJR,5,8/28/2015
psi,GRV,0,8/28/2015
iuy,JFO,5,8/28/2015
kpz,YFB,5,8/28/2015
uzk,FCO,0,8/28/2015
rvo,HFQ,0,8/28/2015
roy,MNT,5,8/28/2015
ftx,AXX,2.56,8/28/2015
ftx,XSF,2.43,8/28/2015
bfz,OQA,2.55,8/28/2015
xoc,VMW,0,8/28/2015
ciw,ETJ,5,8/28/2015
ahj,RRC,5,8/28/2015
zsp,HIS,0,8/28/2015
paz,ETV,4.41,8/28/2015
pht,DQZ,3.33,8/28/2015
vbl,XWQ,0,8/28/2015
kgu,WMQ,0,8/28/2015
uin,WMQ,5,8/28/2015
ciu,SIB,5,8/28/2015
tsl,GSE,0,8/28/2015
jqy,HWK,1.98,8/28/2015
lpv,LZH,0,8/28/2015
obz,IFO,2.37,8/28/2015
obz,XVS,2.62,8/28/2015
xrt,DQZ,5,8/28/2015
hov,FAB,0,8/28/2015
ldh,IFO,2.28,8/28/2015
ldh,XVS,2.71,8/28/2015
dnf,TEK,0,8/28/2015
lvh,QCN,1.22,8/28/2015
lvh,QFH,3.77,8/28/2015
iwz,YPU,0,8/28/2015
gid,XWQ,5,8/28/2015
gzf,GRV,0,8/28/2015
jid,APY,0,8/28/2015
mxk,UAO,0,8/28/2015
oeq,WMQ,5,8/28/2015
soy,JIV,5,8/28/2015
soq,DKD,5,8/28/2015
yok,ZTD,0,8/28/2015
pdy,JYL,5,8/28/2015
ber,EBB,1.71,8/28/2015
lsl,LZH,5,8/28/2015
fpk,GRN,0,8/28/2015
nxr,FFN,1.35,8/28/2015
nxr,HNC,0.09,8/28/2015
nxr,IJV,3.55,8/28/2015
rsg,LZH,5,8/28/2015
ywe,LJR,5,8/28/2015
fye,WSG,0,8/28/2015
eeq,WYJ,0.15,8/28/2015
btw,LJR,0,8/28/2015
xgw,LQX,5,8/28/2015
mbb,UZB,5,8/28/2015
nti,RSO,5,8/28/2015
bls,KHL,1.02,8/28/2015
shu,ISR,0,8/28/2015
pem,GZJ,5,8/28/2015
flc,HCY,5,8/28/2015
mml,ZVN,5,8/28/2015
jvf,HIS,0,8/28/2015
gun,SHI,5,8/28/2015
ous,IFB,0,8/28/2015
kbq,TEK,5,8/28/2015
qlf,WPT,0,8/28/2015
qbd,FBM,2.23,8/28/2015
qbd,DZF,2.76,8/28/2015
jxs,AOZ,0,8/28/2015
tsy,EUQ,0,8/28/2015
vgc,DQZ,0,8/28/2015
txs,XHS,5,8/28/2015
byw,YKZ,1.91,8/28/2015
kwk,WQD,5,8/28/2015
gqb,ZZO,5,8/28/2015
xfy,XHS,3.76,8/28/2015
xfy,XWQ,1.23,8/28/2015
vqr,DSZ,0.64,8/28/2015
imz,LBE,5,8/28/2015
isw,QCD,0,8/28/2015
yuo,YZE,0,8/28/2015
pnd,JID,0,8/28/2015
soi,QQS,0.56,8/28/2015
nkq,DKD,5,8/28/2015
usj,YNE,0,8/28/2015
vgt,PID,2.41,8/28/2015
ypv,XKI,0.94,8/28/2015
ypv,REA,1.79,8/28/2015
ypv,RXS,2.25,8/28/2015
eej,GIZ,5,8/28/2015
afi,HEL,5,8/28/2015
idy,GIG,0,8/28/2015
weo,XWQ,5,8/28/2015
zel,NJQ,0.01,8/28/2015
ywu,JIV,0,8/28/2015
vjk,VBG,0,8/28/2015
rvs,GIZ,2.75,8/28/2015
tcc,VUM,5,8/28/2015
mhp,MJM,0,8/28/2015
utm,DQZ,0,8/28/2015
vzc,DQZ,0,8/28/2015
roz,TZR,0,8/28/2015
oen,UEP,0,8/28/2015
bdp,BKW,0,8/28/2015
ejb,LZH,0,8/28/2015
xxd,NBX,0,8/28/2015
qwm,QTY,0,8/28/2015
qwm,GGL,5,8/28/2015
uuq,YAM,5,8/28/2015
bnj,HWK,0,8/28/2015
hux,LSL,0,8/28/2015
duf,LJJ,5,8/28/2015
smz,KGD,0,8/28/2015
smz,LSN,5,8/28/2015
sjj,APY,0,8/28/2015
tmb,CUI,5,8/28/2015
nml,GRM,0,8/28/2015
cmb,CUI,0,8/28/2015
jee,NBJ,5,8/28/2015
hrh,YEV,0,8/28/2015
jzd,YEV,5,8/28/2015
qgv,RIP,0,8/28/2015
drh,YHE,5,8/28/2015
iyi,XBV,2.31,8/28/2015
zgw,FPM,5,8/28/2015
kva,AOZ,0,8/28/2015
srl,XJW,5,8/28/2015
qvt,HSS,0,8/28/2015
obr,ZZO,5,8/28/2015
lzd,QEB,0,8/28/2015
eak,OQJ,2.52,8/28/2015
elt,DQZ,4.48,8/28/2015
elt,JYX,0.51,8/28/2015
mxz,CUI,0,8/28/2015
jcs,FYL,0,8/28/2015
apl,BEK,0,8/28/2015
tpo,TSZ,5,8/28/2015
izl,EEX,0,8/28/2015
izl,OBZ,4.99,8/28/2015
jgx,DQZ,4.18,8/28/2015
jgx,JYX,0.81,8/28/2015
ohq,YEV,5,8/28/2015
cno,BKW,1.82,8/28/2015
wtc,BEL,0.75,8/28/2015
hzm,OOT,0,8/28/2015
pon,DKD,5,8/28/2015
vnz,HIS,1.8,8/28/2015
pey,OOL,0,8/28/2015
zzs,XWQ,5,8/28/2015
iuj,PJF,0,8/28/2015
aij,QAT,0,8/28/2015
pao,ICW,4.9,8/28/2015
pao,VHN,0.06,8/28/2015
pao,QGD,0.03,8/28/2015
cdb,ZSE,4.82,8/28/2015
cdb,WDU,0.17,8/28/2015
xzs,LJR,5,8/28/2015
but,YZT,0,8/28/2015
ptn,LTW,5,8/28/2015
iqk,HEL,0,8/28/2015
blc,DKD,5,8/28/2015
lkc,VGS,0,8/28/2015
ksb,LJG,5,8/28/2015
xjz,UVE,0,8/28/2015
ihi,QVR,5,8/28/2015
agk,KOB,0,8/28/2015
agk,LMO,0.43,8/28/2015
agk,MUT,0,8/28/2015
agk,MKX,1.64,8/28/2015
agk,RIT,2.9,8/28/2015
agk,UYG,0,8/28/2015
kdw,HIS,0,8/28/2015
zws,ZSE,0.05,8/28/2015
hsi,LZH,5,8/28/2015
deu,ECK,0,8/28/2015
hlj,YEV,5,8/28/2015
jih,XKI,1.26,8/28/2015
tmu,HCY,0,8/28/2015
gex,GXB,0,8/28/2015
qbk,NKC,5,8/28/2015
uwa,YEV,0,8/28/2015
vul,PAW,0,8/28/2015
aow,SDV,0,8/28/2015
skk,FKJ,5,8/28/2015
mut,KPH,0.75,8/28/2015
vll,PCS,0.04,8/28/2015
bfc,NJQ,5,8/28/2015
qay,LSY,0.72,8/28/2015
pqi,TAC,5,8/28/2015
iqh,HBL,5,8/28/2015
lzf,YHM,0,8/28/2015
lzf,NZM,0,8/28/2015
fbn,YAM,5,8/28/2015
wfj,PLS,0,8/28/2015
bfu,ZVN,0,8/28/2015
eyq,PUX,4.97,8/28/2015
eyq,EDB,0.02,8/28/2015
blk,KGD,5,8/28/2015
ygb,MWY,5,8/28/2015
gis,LJG,5,8/28/2015
wvm,GON,5,8/28/2015
mtz,LSY,0.23,8/28/2015
dsc,VEX,3.72,8/28/2015
dsc,KIP,1.27,8/28/2015
rhg,BZZ,0,8/28/2015
zzu,QCN,0,8/28/2015
yrt,KGD,0,8/28/2015
yrt,GYL,0,8/28/2015
alm,KGD,1.31,8/28/2015
alm,ZOD,2.15,8/28/2015
alm,GYL,1.53,8/28/2015
yrm,LZH,0,8/28/2015
brg,XJW,5,8/28/2015
ydi,XIH,5,8/28/2015
agq,OOT,5.33,8/28/2015
xir,JXW,1.46,8/28/2015
xir,HMF,3.53,8/28/2015
kji,UYI,0,8/28/2015
kji,YAM,0,8/28/2015
tbg,HSS,0,8/28/2015
xvr,RSO,5,8/28/2015
edb,JUO,2.37,8/28/2015
edb,LHC,2.62,8/28/2015
edb,CXP,0,8/28/2015
zsb,JXW,0,8/28/2015
mpo,JXW,0,8/28/2015
tcf,HFQ,5,8/28/2015
hro,ZTC,5,8/28/2015
ezh,HEL,0,8/28/2015
muw,LZH,0,8/28/2015
rvr,DJV,5,8/28/2015
mvc,KXB,0,8/28/2015
ede,WHY,0,8/28/2015
azv,FAB,0,8/28/2015
fwn,UYG,0,8/28/2015
yhe,JIV,0,8/28/2015
fig,EUQ,5.28,8/28/2015
zgd,ICW,5,8/28/2015
zyt,HEL,0,8/28/2015
dta,JIV,0,8/28/2015
tbk,NJQ,5,8/28/2015
xoj,OLV,0,8/28/2015
zsf,TSE,5,8/28/2015
kcu,UAO,5,8/28/2015
lvs,JXW,0,8/28/2015
yqs,WQD,5,8/28/2015
zin,HEL,5,8/28/2015
bdv,NHF,1.73,8/28/2015
bdv,JJP,3.26,8/28/2015
lvv,XXW,0,8/28/2015
fzy,YFQ,0,8/28/2015
ycx,DCM,0,8/28/2015
oxr,CGE,5,8/28/2015
vpx,MRX,0,8/28/2015
tgg,UZB,5,8/28/2015
ccn,HEL,5,8/28/2015
ktl,FBN,0,8/28/2015
